Дата,Adj Close,Date
2020-02-27,1386.2,27.02.2020
2020-02-26,1461.22,26.02.2020
2020-02-25,1446.11,25.02.2020
2020-02-21,1524.71,21.02.2020
2020-02-20,1535.81,20.02.2020
2020-02-19,1542.08,19.02.2020
2020-02-18,1515.54,18.02.2020
2020-02-17,1543.25,17.02.2020
2020-02-14,1534.89,14.02.2020
2020-02-13,1543.5,13.02.2020
2020-12-02,1557.44,12.02.2020
2020-11-02,1539.56,11.02.2020
2020-10-02,1503.95,10.02.2020
2020-07-02,1518.23,07.02.2020
2020-06-02,1539.42,06.02.2020
2020-05-02,1560.48,05.02.2020
2020-04-02,1547.19,04.02.2020
2020-03-02,1521.16,03.02.2020
2020-01-31,1517.07,31.01.2020
2020-01-30,1544.55,30.01.2020
2020-01-29,1570.65,29.01.2020
2020-01-28,1572.23,28.01.2020
2020-01-27,1541.9,27.01.2020
2020-01-24,1599.82,24.01.2020
2020-01-23,1596.11,23.01.2020
2020-01-22,1612.87,22.01.2020
2020-01-21,1634.32,21.01.2020
2020-01-20,1646.6,20.01.2020
2020-01-17,1637.75,17.01.2020
2020-01-16,1612.72,16.01.2020
2020-01-15,1602.29,15.01.2020
2020-01-14,1604.96,14.01.2020
2020-01-13,1619.73,13.01.2020
2020-10-01,1614.69,10.01.2020
2020-09-01,1601.74,09.01.2020
2020-08-01,1589.08,08.01.2020
2020-06-01,1568.35,06.01.2020
2020-03-01,1564.18,03.01.2020
2019-12-30,1548.92,30.12.2019
2019-12-27,1549.4,27.12.2019
2019-12-26,1534.85,26.12.2019
2019-12-25,1544.12,25.12.2019
2019-12-24,1540.46,24.12.2019
2019-12-23,1535.0,23.12.2019
2019-12-20,1523.77,20.12.2019
2019-12-19,1519.49,19.12.2019
2019-12-18,1522.51,18.12.2019
2019-12-17,1520.6,17.12.2019
2019-12-16,1517.16,16.12.2019
2019-12-13,1501.42,13.12.2019
2019-12-12,1496.96,12.12.2019
2019-11-12,1463.15,11.12.2019
2019-10-12,1454.23,10.12.2019
2019-09-12,1456.79,09.12.2019
2019-06-12,1448.34,06.12.2019
2019-05-12,1430.39,05.12.2019
2019-04-12,1430.03,04.12.2019
2019-03-12,1414.06,03.12.2019
2019-02-12,1432.81,02.12.2019
2019-11-29,1438.45,29.11.2019
2019-11-28,1439.18,28.11.2019
2019-11-27,1441.08,27.11.2019
2019-11-26,1440.95,26.11.2019
2019-11-25,1454.63,25.11.2019
2019-11-22,1455.42,22.11.2019
2019-11-21,1454.74,21.11.2019
2019-11-20,1448.4,20.11.2019
2019-11-19,1451.64,19.11.2019
2019-11-18,1443.02,18.11.2019
2019-11-15,1449.42,15.11.2019
2019-11-14,1436.98,14.11.2019
2019-11-13,1437.85,13.11.2019
2019-12-11,1449.35,12.11.2019
2019-11-11,1460.84,11.11.2019
2019-08-11,1468.17,08.11.2019
2019-07-11,1487.03,07.11.2019
2019-06-11,1471.38,06.11.2019
2019-05-11,1460.5,05.11.2019
2019-01-11,1455.44,01.11.2019
2019-10-31,1422.92,31.10.2019
2019-10-30,1431.9,30.10.2019
2019-10-29,1424.05,29.10.2019
2019-10-28,1411.92,28.10.2019
2019-10-25,1421.2,25.10.2019
2019-10-24,1413.63,24.10.2019
2019-10-23,1392.47,23.10.2019
2019-10-22,1387.68,22.10.2019
2019-10-21,1365.14,21.10.2019
2019-10-18,1355.27,18.10.2019
2019-10-17,1353.49,17.10.2019
2019-10-16,1347.43,16.10.2019
2019-10-15,1331.03,15.10.2019
2019-10-14,1321.13,14.10.2019
2019-11-10,1329.63,11.10.2019
2019-10-10,1330.92,10.10.2019
2019-09-10,1317.48,09.10.2019
2019-08-10,1306.39,08.10.2019
2019-07-10,1320.25,07.10.2019
2019-04-10,1311.65,04.10.2019
2019-03-10,1307.01,03.10.2019
2019-02-10,1313.75,02.10.2019
2019-01-10,1329.37,01.10.2019
2019-09-30,1333.91,30.09.2019
2019-09-27,1347.72,27.09.2019
2019-09-26,1359.59,26.09.2019
2019-09-25,1354.01,25.09.2019
2019-09-24,1358.8,24.09.2019
2019-09-23,1373.49,23.09.2019
